breadth,minDrop,spy,exit,stop,selN,selWin,selExp,selPF,valN,valWin,valExp,valPF,allN,allWin,allExp,allPF
30,1.5,below,sma5,3,2296,70.8,0.93,1.72,2173,59.1,0.40,1.24,4469,65.1,0.67,1.46
30,1.5,below,sma5,0,2296,70.8,0.90,1.68,2173,59.2,0.43,1.26,4469,65.1,0.67,1.46
30,1.5,below,upclose,2,2296,61.3,0.56,1.77,2173,54.9,0.28,1.26,4469,58.2,0.43,1.47
30,1.5,below,upclose,3,2296,61.3,0.58,1.81,2173,54.9,0.29,1.27,4469,58.2,0.44,1.49
30,1.5,below,upclose,0,2296,61.3,0.58,1.81,2173,54.9,0.29,1.27,4469,58.2,0.44,1.49
30,1.5,below,pct1,2,2296,75.9,0.67,1.57,2173,67.5,0.40,1.26,4469,71.8,0.54,1.40
30,1.5,below,pct1,3,2296,76.0,0.72,1.63,2173,67.6,0.43,1.28,4469,71.9,0.58,1.44
30,1.5,below,pct1,0,2296,76.0,0.70,1.61,2173,67.6,0.45,1.31,4469,71.9,0.58,1.44
30,2.5,any,sma5,2,1443,64.2,0.71,1.54,1359,60.2,0.70,1.59,2802,62.3,0.71,1.56
30,2.5,any,sma5,3,1443,64.2,0.73,1.58,1359,60.3,0.72,1.61,2802,62.3,0.73,1.59
30,2.5,any,sma5,0,1443,64.2,0.73,1.57,1359,60.3,0.73,1.62,2802,62.3,0.73,1.59
30,2.5,any,upclose,2,1443,54.9,0.14,1.15,1359,51.7,0.15,1.15,2802,53.3,0.14,1.15
30,2.5,any,upclose,3,1443,54.9,0.15,1.16,1359,51.7,0.16,1.16,2802,53.3,0.15,1.16
30,2.5,any,upclose,0,1443,54.9,0.15,1.16,1359,51.7,0.16,1.16,2802,53.3,0.15,1.16
30,2.5,any,pct1,2,1443,69.8,0.44,1.36,1359,69.1,0.63,1.59,2802,69.5,0.53,1.47
30,2.5,any,pct1,3,1443,69.9,0.47,1.40,1359,69.3,0.66,1.62,2802,69.6,0.56,1.50
30,2.5,any,pct1,0,1443,69.9,0.46,1.39,1359,69.3,0.66,1.63,2802,69.6,0.56,1.50
30,2.5,below,sma5,2,747,75.6,1.53,2.67,396,59.8,0.92,1.68,1143,70.2,1.31,2.24
30,2.5,below,sma5,3,747,75.6,1.55,2.73,396,59.8,0.87,1.62,1143,70.2,1.31,2.23
30,2.5,below,sma5,0,747,75.6,1.55,2.73,396,59.8,0.88,1.63,1143,70.2,1.32,2.24
30,2.5,below,upclose,2,747,64.4,0.75,2.15,396,57.8,0.75,1.83,1143,62.1,0.75,2.01
30,2.5,below,upclose,3,747,64.4,0.77,2.21,396,57.8,0.76,1.84,1143,62.1,0.76,2.05
30,2.5,below,upclose,0,747,64.4,0.77,2.22,396,57.8,0.76,1.85,1143,62.1,0.76,2.06
30,2.5,below,pct1,2,747,81.1,1.17,2.57,396,70.5,0.84,1.71,1143,77.4,1.06,2.18
30,2.5,below,pct1,3,747,81.1,1.20,2.67,396,70.5,0.80,1.65,1143,77.4,1.06,2.18
30,2.5,below,pct1,0,747,81.1,1.20,2.67,396,70.5,0.81,1.66,1143,77.4,1.06,2.19
75,1.5,any,sma5,2,3240,62.1,0.35,1.24,3249,63.8,0.77,1.62,6489,63.0,0.56,1.41
75,1.5,any,sma5,3,3240,62.2,0.38,1.27,3249,63.8,0.78,1.63,6489,63.0,0.58,1.43
75,1.5,any,sma5,0,3240,62.2,0.37,1.25,3249,63.8,0.77,1.62,6489,63.0,0.57,1.43
75,1.5,any,upclose,2,3240,55.2,0.25,1.32,3249,56.1,0.35,1.40,6489,55.6,0.30,1.36
75,1.5,any,upclose,3,3240,55.2,0.26,1.33,3249,56.1,0.34,1.39,6489,55.6,0.30,1.36
75,1.5,any,upclose,0,3240,55.2,0.26,1.33,3249,56.1,0.34,1.39,6489,55.6,0.30,1.36
75,1.5,any,pct1,2,3240,67.3,0.22,1.16,3249,70.6,0.72,1.62,6489,69.0,0.47,1.37
75,1.5,any,pct1,3,3240,67.5,0.26,1.19,3249,70.7,0.73,1.63,6489,69.1,0.49,1.40
75,1.5,any,pct1,0,3240,67.5,0.25,1.19,3249,70.7,0.73,1.63,6489,69.1,0.49,1.39
75,1.5,below,sma5,2,1902,71.7,0.94,1.69,1354,62.6,0.68,1.42,3256,67.9,0.83,1.57
75,1.5,below,sma5,3,1902,71.8,0.96,1.73,1354,62.6,0.68,1.42,3256,67.9,0.84,1.59
75,1.5,below,sma5,0,1902,71.8,0.93,1.69,1354,62.6,0.67,1.42,3256,67.9,0.82,1.56
75,1.5,below,upclose,2,1902,64.2,0.77,2.21,1354,60.9,0.73,1.81,3256,62.8,0.75,2.01
75,1.5,below,upclose,3,1902,64.2,0.77,2.23,1354,60.9,0.72,1.79,3256,62.8,0.75,2.01
75,1.5,below,upclose,0,1902,64.2,0.77,2.23,1354,60.9,0.72,1.79,3256,62.8,0.75,2.00
75,1.5,below,pct1,2,1902,76.4,0.71,1.60,1354,71.3,0.77,1.57,3256,74.3,0.73,1.59
75,1.5,below,pct1,3,1902,76.6,0.74,1.64,1354,71.3,0.77,1.57,3256,74.4,0.75,1.61
75,1.5,below,pct1,0,1902,76.6,0.72,1.62,1354,71.3,0.77,1.57,3256,74.4,0.74,1.59
75,2.5,any,sma5,2,988,67.5,0.84,1.72,647,63.1,1.15,2.17,1635,65.7,0.96,1.88
75,2.5,any,sma5,3,988,67.5,0.89,1.80,647,63.1,1.19,2.27,1635,65.7,1.01,1.97
75,2.5,any,sma5,0,988,67.5,0.89,1.80,647,63.1,1.19,2.27,1635,65.7,1.01,1.96
