minGap,structure,direction,exit,stop,cutoff,sector,selN,selWin,selExp,selPF,valN,valWin,valExp,valPF,allN,allWin,allExp,allPF
3,20d,both,atr,pm,0940,false,192,54.7,0.48,1.45,72,50.0,0.27,1.23,264,53.4,0.42,1.39
3,20d,both,atr,pm,0940,true,146,54.1,0.37,1.34,59,47.5,0.16,1.13,205,52.2,0.31,1.28
3,20d,both,atr,pm,1130,false,284,52.1,0.31,1.30,108,44.4,-0.08,0.94,392,50.0,0.21,1.19
3,20d,both,atr,pm,1130,true,223,52.0,0.25,1.25,87,41.4,-0.26,0.80,310,49.0,0.11,1.10
3,20d,both,pct1,0930,0940,false,192,79.7,0.15,1.26,72,58.3,-0.33,0.60,264,73.9,0.02,1.02
3,20d,both,pct1,0930,0940,true,146,76.7,0.10,1.16,59,57.6,-0.37,0.58,205,71.2,-0.04,0.95
3,20d,both,pct1,0930,1130,false,284,73.9,0.06,1.10,108,55.6,-0.39,0.55,392,68.9,-0.07,0.90
3,20d,both,pct1,0930,1130,true,223,71.7,0.04,1.07,87,55.2,-0.44,0.51,310,67.1,-0.09,0.86
3,20d,both,pct1,pm,0940,false,192,84.4,0.29,1.63,72,66.7,-0.14,0.80,264,79.5,0.17,1.32
3,20d,both,pct1,pm,0940,true,146,82.9,0.27,1.58,59,62.7,-0.27,0.67,205,77.1,0.12,1.21
3,20d,both,pct1,pm,1130,false,284,77.1,0.16,1.30,108,60.2,-0.27,0.66,392,72.4,0.04,1.07
3,20d,both,pct1,pm,1130,true,223,75.8,0.18,1.36,87,57.5,-0.37,0.57,310,70.6,0.03,1.04
3,20d,both,pct2,0930,0940,false,192,63.5,0.22,1.24,72,48.6,-0.22,0.79,264,59.5,0.10,1.10
3,20d,both,pct2,0930,0940,true,146,62.3,0.20,1.22,59,49.2,-0.18,0.82,205,58.5,0.09,1.09
3,20d,both,pct2,0930,1130,false,284,59.9,0.12,1.14,108,47.2,-0.28,0.72,392,56.4,0.01,1.01
3,20d,both,pct2,0930,1130,true,223,59.2,0.13,1.15,87,47.1,-0.30,0.72,310,55.8,0.01,1.01
3,20d,both,pct2,pm,0940,false,192,68.8,0.41,1.52,72,55.6,-0.05,0.95,264,65.2,0.28,1.34
3,20d,both,pct2,pm,0940,true,146,68.5,0.40,1.51,59,54.2,-0.06,0.93,205,64.4,0.27,1.32
3,20d,both,pct2,pm,1130,false,284,63.4,0.27,1.33,108,50.9,-0.20,0.80,392,59.9,0.14,1.16
3,20d,both,pct2,pm,1130,true,223,63.2,0.29,1.39,87,49.4,-0.25,0.75,310,59.4,0.14,1.17
3,20d,both,t1030,0930,0940,false,192,58.3,0.76,1.95,72,38.9,0.02,1.02,264,53.0,0.56,1.65
3,20d,both,t1030,0930,0940,true,146,59.6,0.84,2.08,59,39.0,0.05,1.05,205,53.7,0.61,1.73
3,20d,both,t1030,0930,1130,false,284,55.3,0.54,1.76,108,36.1,-0.16,0.82,392,50.0,0.35,1.46
3,20d,both,t1030,0930,1130,true,223,55.6,0.60,1.91,87,35.6,-0.14,0.84,310,50.0,0.39,1.54
3,20d,both,t1030,pm,0940,false,192,58.3,0.74,1.89,72,41.7,0.16,1.17,264,53.8,0.58,1.67
3,20d,both,t1030,pm,0940,true,146,60.3,0.81,2.01,59,40.7,0.16,1.17,205,54.6,0.62,1.75
3,20d,both,t1030,pm,1130,false,284,55.3,0.53,1.73,108,38.0,-0.06,0.93,392,50.5,0.36,1.48
3,20d,both,t1030,pm,1130,true,223,56.1,0.59,1.87,87,36.8,-0.06,0.92,310,50.6,0.41,1.56
3,20d,both,t1200,0930,0940,false,192,52.6,0.33,1.32,72,36.1,-0.16,0.87,264,48.1,0.20,1.18
3,20d,both,t1200,0930,0940,true,146,46.6,0.10,1.09,59,35.6,-0.23,0.83,205,43.4,0.01,1.01
3,20d,both,t1200,0930,1130,false,284,47.5,0.09,1.09,108,36.1,-0.17,0.85,392,44.4,0.02,1.02
3,20d,both,t1200,0930,1130,true,223,43.0,-0.09,0.92,87,33.3,-0.30,0.74,310,40.3,-0.15,0.86
3,20d,both,t1200,pm,0940,false,192,53.6,0.36,1.35,72,40.3,-0.01,0.99,264,50.0,0.26,1.24
3,20d,both,t1200,pm,0940,true,146,48.6,0.14,1.12,59,39.0,-0.10,0.92,205,45.9,0.07,1.06
3,20d,both,t1200,pm,1130,false,284,48.2,0.11,1.11,108,38.9,-0.06,0.94,392,45.7,0.06,1.06
3,20d,both,t1200,pm,1130,true,223,44.4,-0.06,0.95,87,35.6,-0.21,0.81,310,41.9,-0.10,0.91
3,252d,long,atr,0930,0940,false,19,63.2,0.19,1.11,5,80.0,1.79,5.69,24,66.7,0.52,1.36
3,252d,long,atr,0930,0940,true,14,57.1,-0.23,0.88,3,100.0,3.43,99.00,17,64.7,0.42,1.27
3,252d,long,atr,0930,1130,false,28,60.7,0.20,1.13,6,83.3,1.87,6.85,34,64.7,0.49,1.37
3,252d,long,atr,0930,1130,true,23,56.5,-0.05,0.97,4,100.0,3.13,99.00,27,63.0,0.42,1.31
3,252d,long,atr,pm,0940,false,19,63.2,-0.09,0.95,5,80.0,2.01,19.01,24,66.7,0.35,1.21
3,252d,long,atr,pm,0940,true,14,57.1,-0.63,0.73,3,100.0,3.33,99.00,17,64.7,0.07,1.04
3,252d,long,atr,pm,1130,false,28,60.7,0.04,1.03,6,83.3,2.04,23.00,34,64.7,0.40,1.28
3,252d,long,atr,pm,1130,true,23,56.5,-0.25,0.86,4,100.0,3.06,99.00,27,63.0,0.24,1.16
3,252d,long,pct1,0930,0940,false,19,78.9,-0.38,0.65,5,80.0,0.27,1.72,24,79.2,-0.24,0.74
3,252d,long,pct1,0930,0940,true,14,78.6,-0.32,0.69,3,100.0,0.90,99.00,17,82.4,-0.10,0.88
3,252d,long,pct1,0930,1130,false,28,75.0,-0.34,0.66,6,83.3,0.38,2.19,34,76.5,-0.21,0.76
3,252d,long,pct1,0930,1130,true,23,73.9,-0.29,0.70,4,100.0,0.90,99.00,27,77.8,-0.11,0.86
3,252d,long,pct1,pm,0940,false,19,84.2,-0.26,0.74,5,100.0,0.84,99.00,24,87.5,-0.03,0.96
3,252d,long,pct1,pm,0940,true,14,85.7,-0.18,0.81,3,100.0,0.90,99.00,17,88.2,0.01,1.02
3,252d,long,pct1,pm,1130,false,28,78.6,-0.22,0.76,6,100.0,0.85,99.00,34,82.4,-0.03,0.96
3,252d,long,pct1,pm,1130,true,23,78.3,-0.16,0.81,4,100.0,0.90,99.00,27,81.5,-0.00,1.00
3,252d,long,pct2,0930,0940,false,19,63.2,-0.67,0.61,5,80.0,0.87,3.28,24,66.7,-0.35,0.76
3,252d,long,pct2,0930,0940,true,14,57.1,-1.00,0.48,3,100.0,1.90,99.00,17,64.7,-0.49,0.69
3,252d,long,pct2,0930,1130,false,28,60.7,-0.51,0.67,6,83.3,1.04,4.28,34,64.7,-0.24,0.82
3,252d,long,pct2,0930,1130,true,23,56.5,-0.68,0.57,4,100.0,1.90,99.00,27,63.0,-0.30,0.78
3,252d,long,pct2,pm,0940,false,19,68.4,-0.59,0.66,5,80.0,1.15,11.28,24,70.8,-0.23,0.84
3,252d,long,pct2,pm,0940,true,14,64.3,-0.91,0.53,3,100.0,1.90,99.00,17,70.6,-0.41,0.74
3,252d,long,pct2,pm,1130,false,28,64.3,-0.43,0.72,6,83.3,1.27,14.68,34,67.6,-0.13,0.90
3,252d,long,pct2,pm,1130,true,23,60.9,-0.58,0.63,4,100.0,1.90,99.00,27,66.7,-0.21,0.84
3,252d,long,t1030,0930,0940,false,19,57.9,-0.36,0.76,5,60.0,1.92,5.81,24,58.3,0.11,1.09
3,252d,long,t1030,0930,0940,true,14,50.0,-0.77,0.56,3,66.7,3.81,136.31,17,52.9,0.04,1.03
3,252d,long,t1030,0930,1130,false,28,42.9,0.04,1.03,6,66.7,1.66,5.98,34,47.1,0.33,1.30
3,252d,long,t1030,0930,1130,true,23,34.8,-0.12,0.91,4,75.0,2.94,140.43,27,40.7,0.33,1.29
